market,product,s,p,x,w,marginal_cost,satellite,wired
1,1,0.313201288647811,2.47892704590669,0.511603722189581,0.0328780548058861,1.66756389901923,1,0
1,2,0.129638900129135,2.90799548023913,1.62365925222734,0.494173879373619,2.31357338945231,1,0
1,3,0.0650388842996951,3.31459857550169,0.842326346047997,1.56168905216946,2.75620812126689,0,1
1,4,0.134452713316441,2.72548156035383,0.701952747275458,1.0255791375194,2.08756690074891,0,1
2,1,0.212806482973364,2.25911938660355,0.236937879127631,0.776007105490692,1.56623521747082,1,0
2,2,0.19011149377018,3.03126647257279,0.920484878072598,1.12759346616907,2.36575990733549,1,0
2,3,0.140043986439167,3.10266930448083,0.101888083639531,1.14302636105406,2.49307577725247,0,1
2,4,0.283239869042745,2.77128675819826,0.336181512220115,0.166313578850091,1.9856061154128,0,1
3,1,0.218100852078694,2.46670559794356,0.541589171621698,0.355759428247929,1.78475774988792,1,0
3,2,0.238414063458201,2.61163192788774,1.20219764681918,1.14694954858439,1.90576104002824,1,0
3,3,0.0915103245624685,2.30612438896095,0.897925784148349,0.722596593260511,1.72684194921185,0,1
3,4,0.167835250978335,2.7939100674158,0.74982570129541,0.791567079440403,2.1263398658066,0,1
4,1,0.0210115970396436,2.82962696184667,1.21922764704307,1.11280918419286,2.31077841031043,1,0
4,2,0.154233045673196,3.00379491765351,0.882678068364482,1.48101859708601,2.32196921586345,1,0
4,3,0.15039747983108,2.72217086276585,1.39392544527667,0.525831634256913,2.11779796384138,0,1
4,4,0.407204684932057,2.54559594080538,0.800882335188553,0.282152279625528,1.60649570428134,0,1
5,1,0.00922226742264731,3.97949673841167,0.174135875106149,3.44599197819979,3.47068807011681,1,0
5,2,0.0896758078394126,2.97250455472686,1.51647903560073,0.916191212458402,2.371269756846,1,0
5,3,0.231140655809233,3.67003594312984,2.48652390438096,2.34414358896845,2.93402199702804,0,1
5,4,0.0543882812762108,2.73607051217992,0.122741393064011,1.33336590569982,2.19526706969841,0,1
6,1,0.135933668593728,3.11532348974564,0.615268316096478,0.78209886700799,2.52192482391574,1,0
6,2,0.404080653148537,2.95226016658309,1.92161155776854,0.335131017104748,2.01261817198369,1,0
6,3,0.0484561975181326,2.44246051736747,0.401294135810678,0.157429480539448,1.89941773759549,0,1
6,4,0.156274507678753,2.22058122744847,0.664288591501356,0.0496970129853213,1.54888149339913,0,1
7,1,0.469312198748183,2.88844652809894,1.80689296408533,0.282203311332044,1.85701000623192,1,0
7,2,0.170768283293212,2.50385234411845,0.572135777806248,0.57467532847443,1.88848098817516,1,0
7,3,0.0832180345316484,2.73759784568279,0.488027222960909,1.45085080828598,2.14378119577038,0,1
7,4,0.053708292250117,2.38537390593772,0.0549578832347883,0.503797531825137,1.82860060448125,0,1
8,1,0.0173269389085274,2.66316473088105,0.643681105896039,1.22876619131156,2.15021120595477,1,0
8,2,0.268553688622009,2.83078389787306,1.71489505383856,0.203619661886632,2.00913264412783,1,0
8,3,0.279812093333199,2.6445634359208,1.9871488081498,0.345191700473056,1.8810491040771,0,1
8,4,0.174466696572445,2.75173518186002,0.212695033841387,1.04712783477107,2.11463401138356,0,1
9,1,0.216362307078346,2.4996411126443,2.04601885213282,0.325172996563801,1.84309346064898,1,0
9,2,0.428818775647624,3.10775403863442,0.354918895732423,0.447041192021587,2.15974139234505,1,0
9,3,0.022088264527297,3.3767026624208,0.234463430687309,1.60699047340335,2.85694308607086,0,1
9,4,0.170885557429939,2.78467754027597,0.0508606797200874,0.869470504201632,2.07635069487532,0,1
10,1,0.062003984731487,3.38235056339024,0.560762421131065,2.13425460540829,2.83040760443474,1,0
10,2,0.171802491117738,2.34473256151142,0.105181865810994,0.34352592755542,1.66837049758927,1,0
10,3,0.0917718087543632,2.63953460700733,0.481837360399392,1.17045205316643,2.07192897681453,0,1
10,4,0.280876477531691,2.60152051358153,0.182916850669564,1.10841870084243,1.81466971495074,0,1
11,1,0.214790910178214,2.37847551877407,0.835999305852858,0.386892082931343,1.71527290562696,1,0
11,2,0.349157372743288,2.97018654933491,2.46841353318467,0.60383579647081,2.13681765806835,1,0
11,3,0.0584325541101904,2.44477148857578,0.386893969204339,0.276035101610547,1.89249858454558,0,1
11,4,0.158331459477157,2.13667358690328,0.0246729283718233,0.0404459582548468,1.46420742807732,0,1
12,1,0.278586244832188,2.8580919872515,0.652947502777847,0.610203857819049,2.0666803322464,1,0
12,2,0.0982876989830868,2.43766357956832,0.0418580303239525,1.23867251847222,1.86301015148613,1,0
12,3,0.202736271558626,2.46680495465298,0.247672409336777,0.194705861996096,1.78504912827458,0,1
12,4,0.179801390977561,2.70675782774296,1.09939099821092,1.41657477550723,2.05193075230005,0,1
13,1,0.331762997383198,3.26924444453179,0.441293124842934,0.939779775135914,2.45127402071622,1,0
13,2,0.1849145720687,2.35516255240848,0.587260767867037,0.599492053306319,1.71686539610083,1,0
13,3,0.110799451876581,3.0835005847616,0.518119835350654,1.49209519404243,2.47263188942114,0,1
